Country,GDP per capita,ISO-code
Macau,113352,MAC
Luxembourg,112045,LUX
Singapore,105689,SGP
Ireland,86988,IRL
Brunei,85011,BRN
Norway,79638,NOR
UAE,70441,ARE
Kuwait,67891,KWT
Switzerland,67558,CHE
United States,67426,USA
Hong Kong,66527,HKG
San Marino,62913,SMR
Netherlands,60299,NLD
Taiwan,57214,TWN
Iceland,56974,ISL
Saudi Arabia,56912,SAU
Sweden,55989,SWE
Denmark,55675,DNK
Germany,55306,DEU
Austria,55171,AUT
Australia,54799,AUS
Canada,52144,CAN
Bahrain,51991,BHR
Belgium,50904,BEL
Malta,49589,MLT
Finland,49548,FIN
France,48640,FRA
Oman,48593,OMN
Greenland,48182,GRL
United Kingdom,48169,GBR
