Country,Type,Value
United Arab Emirates,Total Vaccinations,182.957
Uruguay,Total Vaccinations,156.498
Israel,Total Vaccinations,154.613
Malta,Total Vaccinations,154.537
Palau,Total Vaccinations,153.123
Singapore,Total Vaccinations,146.583
Denmark,Total Vaccinations,145.956
Bahrain,Total Vaccinations,145.572
Iceland,Total Vaccinations,144.602
Seychelles,Total Vaccinations,141.972
Chile,Total Vaccinations,141.174
Portugal,Total Vaccinations,141.088
Canada,Total Vaccinations,140.251
Belgium,Total Vaccinations,139.21
Spain,Total Vaccinations,137.402
United Arab Emirates,First Dose Vac,111.65
Uruguay,First Dose Vac,76.398
Israel,First Dose Vac,68.761
Malta,First Dose Vac,80.252
Palau,First Dose Vac,87.447
Singapore,First Dose Vac,76.495
Denmark,First Dose Vac,75.517
Bahrain,First Dose Vac,67.125
Iceland,First Dose Vac,76.653
Seychelles,First Dose Vac,75.558
Chile,First Dose Vac,71.429
Portugal,First Dose Vac,82.492
Canada,First Dose Vac,73.619
Belgium,First Dose Vac,72.805
Spain,First Dose Vac,76.559
United Arab Emirates,Fully Vac,71.307
Uruguay,Fully Vac,71.621
Israel,Fully Vac,63.183
Malta,Fully Vac,80.029
Palau,Fully Vac,77.99
Singapore,Fully Vac,72.351
Denmark,Fully Vac,71.238
Bahrain,Fully Vac,63.769
Iceland,Fully Vac,72.372
Seychelles,Fully Vac,71.625
Chile,Fully Vac,67.05
Portugal,Fully Vac,72.654
Canada,Fully Vac,66.632
Belgium,Fully Vac,69.466
Spain,Fully Vac,68.577
