Country,Population growth,ISO-code
Oman,9.13,OMN
Qatar,7.05,QAT
South Sudan,4.3,SSD
Kuwait,3.95,KWT
Niger,3.84,NER
Uganda,3.35,UGA
Eritrea,3.28,ERI
Burundi,3.19,BDI
The Gambia,3.19,GMB
Zambia,3.19,ZMB
Angola,3.12,AGO
UAE,3.1,ARE
Tanzania,3.04,TZA
Palestine,3.01,PSE
Chad,3,TCD
Mali,2.99,MLI
Senegal,2.92,SEN
East Timor,2.88,TLS
Burkina Faso,2.86,BFA
Malawi,2.86,MWI
Somalia,2.86,SOM
Equatorial Guinea,2.8,GNQ
Madagascar,2.8,MDG
Nigeria,2.79,NGA
Rwanda,2.77,RWA
Congo,2.74,COD
Benin,2.73,BEN
Kenya,2.7,KEN
Zimbabwe,2.7,ZWE
Pakistan,2.69,PAK
