,Country,ISO-code,Total Vaccinations,First Dose Vac,Fully Vac
0,Afghanistan,AFG,3.086,1.979,1.107
1,Algeria,DZA,9.455,7.802,1.653
2,Andorra,AND,118.631,66.064,52.567
3,Angola,AGO,5.69,3.119,2.57
4,Antigua and Barbuda,ATG,74.444,40.65,33.794
5,Argentina,ARG,90.631,61.081,29.549
6,Armenia,ARM,8.077,5.193,2.884
7,Australia,AUS,67.258,42.676,24.473
8,Austria,AUT,117.12,61.663,58.275
9,Azerbaijan,AZE,64.046,38.755,25.292
10,Bahrain,BHR,145.572,67.125,63.769
11,Bangladesh,BGD,14.706,10.47,4.236
12,Barbados,BRB,69.028,36.769,32.26
13,Belarus,BLR,28.413,15.834,12.579
14,Belgium,BEL,139.21,72.805,69.466
15,Belize,BLZ,56.74,39.928,16.812
16,Benin,BEN,0.993,0.459,0.533
17,Bhutan,BTN,134.373,72.759,61.615
18,Bolivia,BOL,48.614,32.291,21.613
19,Bosnia and Herzegovina,BIH,28.289,17.288,11.001
20,Botswana,BWA,11.268,11.632,8.44
21,Brazil,BRA,83.315,59.382,26.008
22,Brunei,BRN,56.128,41.194,14.934
23,Bulgaria,BGR,32.888,,16.616
24,Burkina Faso,BFA,0.472,0.372,0.065
26,Cambodia,KHM,101.925,58.926,47.653
27,Cameroon,CMR,1.607,1.312,0.295
28,Canada,CAN,140.251,73.619,66.632
29,Cape Verde,CPV,53.324,41.292,11.947
30,Central African Republic,CAF,2.255,1.61,0.538
31,Chad,TCD,0.315,0.225,0.089
32,Chile,CHL,141.174,71.429,67.05
33,China,CHN,132.083,,
34,Colombia,COL,67.306,44.281,28.396
35,Comoros,COM,31.902,20.129,11.774
36,Costa Rica,CRI,79.17,59.471,19.699
37,Croatia,HRV,80.26,42.357,39.592
38,Cuba,CUB,114.41,46.688,39.718
39,Cyprus,CYP,122.186,64.189,57.996
40,Czech Republic,CZE,106.657,55.402,53.085
41,Democratic Republic of the Congo,COD,0.104,0.092,0.012
42,Denmark,DNK,145.956,75.517,71.238
43,Djibouti,DJI,3.412,1.872,1.54
44,Dominican Republic,DOM,101.583,53.248,42.495
45,East Timor,TLS,42.23,28.471,13.759
46,Ecuador,ECU,99.267,56.981,42.702
47,Egypt,EGY,8.542,5.488,3.053
48,El Salvador,SLV,92.6,53.209,39.391
49,Equatorial Guinea,GNQ,23.466,13.509,9.958
51,Estonia,EST,94.859,54.349,40.509
52,Eswatini,SWZ,16.327,13.891,12.975
53,Ethiopia,ETH,2.117,1.773,0.345
54,Fiji,FJI,86.805,60.601,26.204
55,Finland,FIN,122.655,72.64,50.015
56,France,FRA,132.201,73.787,59.944
57,Gabon,GAB,5.74,3.357,2.383
58,Georgia,GEO,28.726,19.329,9.397
59,Germany,DEU,121.644,64.889,60.123
60,Ghana,GHA,4.092,2.785,1.307
61,Greece,GRC,105.82,56.067,53.291
62,Greenland,GRL,124.605,69.444,55.161
63,Grenada,GRD,37.756,21.298,16.458
64,Guatemala,GTM,23.024,17.541,5.483
65,Guinea,GIN,8.504,5.702,2.802
66,Guyana,GUY,59.528,39.255,20.273
67,Haiti,HTI,0.278,0.239,0.042
68,Honduras,HND,32.368,21.585,10.786
70,Hungary,HUN,114.956,58.604,56.352
71,Iceland,ISL,144.602,76.653,72.372
72,India,IND,43.152,33.391,9.761
73,Indonesia,IDN,33.462,21.469,11.993
74,Iran,IRN,31.165,21.741,9.423
75,Iraq,IRQ,8.376,1.739,0.966
76,Ireland,IRL,136.276,73.708,67.243
77,Israel,ISR,154.613,68.761,63.183
78,Italy,ITA,129.134,70.839,60.695
79,Ivory Coast,CIV,4.958,4.014,0.944
80,Jamaica,JAM,16.783,12.088,4.74
81,Japan,JPN,93.543,52.606,40.937
82,Jordan,JOR,61.66,33.545,28.115
83,Kazakhstan,KAZ,63.103,34.962,28.14
84,Kenya,KEN,5.008,3.523,1.486
85,Kiribati,KIR,11.695,11.695,
86,Kuwait,KWT,55.73,,
87,Kyrgyzstan,KGZ,17.02,10.364,6.62
88,Laos,LAO,41.848,28.32,22.606
89,Latvia,LVA,78.179,44.56,39.514
90,Lebanon,LBN,38.484,21.056,17.428
91,Lesotho,LSO,9.42,1.91,1.502
92,Liberia,LBR,2.248,2.067,0.542
93,Libya,LBY,15.005,13.84,1.165
94,Liechtenstein,LIE,110.571,58.402,52.84
95,Lithuania,LTU,112.363,58.997,53.366
96,Luxembourg,LUX,121.134,64.685,56.449
97,Madagascar,MDG,0.711,0.711,
98,Malawi,MWI,4.857,3.463,2.078
99,Malaysia,MYS,92.339,55.016,37.323
100,Mali,MLI,1.464,1.037,0.427
101,Malta,MLT,154.537,80.252,80.029
102,Marshall Islands,MHL,63.005,34.938,30.344
103,Mauritania,MRT,12.161,5.177,6.983
104,Mauritius,MUS,116.675,61.888,54.787
105,Mexico,MEX,64.125,44.151,25.035
106,Micronesia,FSM,53.916,34.078,29.045
107,Moldova,MDA,31.391,,16.757
108,Mongolia,MNG,130.646,67.914,62.58
109,Montenegro,MNE,62.068,33.253,28.816
110,Morocco,MAR,88.298,49.381,38.917
111,Mozambique,MOZ,7.352,5.258,2.093
112,Myanmar,MMR,8.191,4.889,3.302
113,Namibia,NAM,11.691,7.892,3.8
114,Nepal,NPL,30.207,16.967,13.24
115,Netherlands,NLD,125.703,68.74,61.48
116,New Zealand,NZL,50.58,31.967,18.613
117,Nicaragua,NIC,9.748,6.688,3.06
118,Niger,NER,2.031,1.67,0.361
119,Nigeria,NGA,2.029,1.337,0.692
120,North Macedonia,MKD,58.577,33.771,24.806
121,Norway,NOR,125.852,71.491,54.361
122,Oman,OMN,36.96,30.371,6.599
123,Pakistan,PAK,23.081,18.087,6.913
124,Palau,PLW,153.123,87.447,77.99
125,Palestine,PSE,22.806,14.317,8.489
126,Panama,PAN,95.587,63.347,32.24
127,Papua New Guinea,PNG,1.6,1.1,0.324
128,Paraguay,PRY,55.075,31.777,23.298
129,Peru,PER,53.693,30.302,23.391
130,Philippines,PHL,27.005,18.382,11.853
131,Poland,POL,95.293,50.633,49.275
132,Portugal,PRT,141.088,82.492,72.654
133,Republic of the Congo,COG,3.175,1.431,1.745
134,Romania,ROU,50.406,27.041,26.457
135,Russia,RUS,54.472,29.765,24.707
136,Rwanda,RWA,6.595,3.481,3.114
137,Saint Kitts and Nevis,KNA,85.214,45.511,39.703
138,Saint Lucia,LCA,34.451,19.445,15.006
139,Saint Vincent and the Grenadines,VCT,24.058,14.798,9.26
140,Samoa,WSM,62.979,44.067,18.912
141,Sao Tome and Principe,STP,20.071,14.653,5.418
142,Saudi Arabia,SAU,105.378,63.505,41.873
143,Senegal,SEN,9.35,6.909,4.142
144,Serbia,SRB,84.397,42.11,40.417
145,Seychelles,SYC,141.972,75.558,71.625
146,Sierra Leone,SLE,2.426,2.003,0.423
147,Singapore,SGP,146.583,76.495,72.351
148,Slovakia,SVK,82.66,43.354,39.306
149,Slovenia,SVN,90.014,47.075,42.939
150,Solomon Islands,SLB,10.424,7.858,2.566
151,Somalia,SOM,1.831,1.226,0.605
152,South Africa,ZAF,18.675,10.007,8.669
153,South Sudan,SSD,0.509,0.467,0.043
154,Spain,ESP,137.402,76.559,68.577
155,Sri Lanka,LKA,84.523,56.739,27.784
156,Sudan,SDN,1.892,1.468,0.424
157,Suriname,SUR,54.452,33.815,20.638
158,Sweden,SWE,119.989,66.36,53.618
159,Syria,SYR,2.304,1.151,1.154
160,Tajikistan,TJK,23.651,19.836,3.815
161,Tanzania,TZA,0.366,,0.35
162,Thailand,THA,38.77,29.843,8.926
163,The Bahamas,BHS,32.808,19.371,13.438
164,The Gambia,GMB,7.829,1.478,6.4
165,Togo,TGO,6.469,4.311,2.158
166,Tonga,TON,63.039,37.375,25.663
167,Trinidad and Tobago,TTO,62.866,35.586,27.281
168,Tunisia,TUN,47.779,30.613,12.076
169,Turkey,TUR,109.926,56.529,43.303
170,Turkmenistan,TKM,0.696,0.535,0.162
171,Uganda,UGA,2.544,1.972,0.53
172,Ukraine,UKR,20.328,12.108,8.22
173,United Arab Emirates,ARE,182.957,,
174,United Kingdom,GBR,131.8,70.251,61.59
175,United States,USA,110.971,63.1,52.184
176,Uruguay,URY,156.498,76.398,71.621
177,Uzbekistan,UZB,36.163,25.605,
178,Vanuatu,VUT,12.449,10.306,2.148
179,Venezuela,VEN,32.181,20.448,11.698
180,Vietnam,VNM,16.752,15.071,1.681
181,Yemen,YEM,1.044,1.0,0.045
182,Zambia,ZMB,2.74,1.653,1.086
183,Zimbabwe,ZWE,25.382,15.558,9.824
