,Country,Life expectancy,ISO-code,Population growth,GDP per capita,Fertility
0,Afghanistan,64.5,AFG,2.41,2182.0,4.5
1,Algeria,76.7,DZA,1.89,16091.0,3.0
2,Andorra,81.8,AND,0.63,,1.3
3,Angola,60.8,AGO,3.12,6763.0,5.5
4,Antigua and Barbuda,76.9,ATG,1.03,30593.0,2.0
5,Argentina,76.5,ARG,0.88,19971.0,2.3
6,Armenia,74.9,ARM,0.17,11845.0,1.8
7,Australia,83.3,AUS,1.6,54799.0,1.7
8,Austria,81.4,AUT,0.46,55171.0,1.5
9,Azerbaijan,72.9,AZE,1.35,19156.0,1.7
10,Bahrain,77.2,BHR,1.92,51991.0,2.0
11,Bangladesh,72.3,BGD,1.19,5453.0,2.0
12,Barbados,79.1,BRB,0.5,19364.0,1.6
13,Belarus,74.6,BLR,-0.1,21224.0,1.4
14,Belgium,81.5,BEL,0.85,50904.0,1.6
15,Belize,74.5,BLZ,2.43,8791.0,2.3
16,Benin,61.5,BEN,2.73,3648.0,4.8
17,Bhutan,71.5,BTN,1.68,10627.0,2.0
18,Bolivia,71.2,BOL,1.65,8525.0,2.7
19,Bosnia and Herzegovina,77.3,BIH,-0.14,14894.0,1.3
20,Botswana,69.3,BWA,0.86,19388.0,2.9
21,Brazil,75.7,BRA,0.87,17106.0,1.7
22,Brunei,75.7,BRN,1.4,85011.0,1.8
23,Bulgaria,74.9,BGR,-0.6,26034.0,1.6
24,Burkina Faso,61.2,BFA,2.86,2181.0,5.2
25,Burundi,61.2,BDI,3.19,724.0,5.4
26,Cambodia,69.6,KHM,1.76,5004.0,2.5
27,Cameroon,58.9,CMR,2.54,4099.0,4.6
28,Canada,82.3,CAN,1.14,52144.0,1.5
29,Cape Verde,72.8,CPV,0.78,8716.0,2.3
30,Central African Republic,52.8,CAF,1.99,864.0,4.7
31,Chad,54.0,TCD,3.0,2603.0,5.7
32,Chile,80.0,CHL,0.9,27150.0,1.6
33,China,76.7,CHN,0.49,20984.0,1.7
34,Colombia,77.1,COL,1.32,16265.0,1.8
35,Comoros,64.1,COM,2.44,2898.0,4.2
36,Costa Rica,80.1,CRI,1.42,18651.0,1.8
37,Croatia,78.3,HRV,-0.32,29207.0,1.5
38,Cuba,78.6,CUB,-0.05,8822.0,1.6
39,Cyprus,80.8,CYP,1.11,42956.0,1.3
40,Czech Republic,79.2,CZE,0.18,40585.0,1.7
41,Democratic Republic of the Congo,60.4,COD,2.74,873.0,5.9
42,Denmark,80.8,DNK,0.36,55675.0,1.7
43,Djibouti,66.6,DJI,1.52,5855.0,2.7
44,Dominican Republic,73.9,DOM,1.26,20625.0,2.3
45,East Timor,69.3,TLS,2.88,5321.0,4.0
46,Ecuador,76.8,ECU,1.6,11866.0,2.4
47,Egypt,71.8,EGY,1.66,14800.0,3.3
48,El Salvador,73.1,SLV,0.66,8593.0,2.0
49,Equatorial Guinea,58.4,GNQ,2.8,19961.0,4.5
50,Eritrea,65.9,ERI,3.28,1103.0,4.1
51,Estonia,78.6,EST,-0.04,37606.0,1.7
52,Eswatini,59.4,SWZ,1.54,11139.0,3.0
53,Ethiopia,66.2,ETH,2.58,2702.0,4.2
54,Fiji,67.3,FJI,0.78,12689.0,2.8
55,Finland,81.7,FIN,0.48,49548.0,1.4
56,France,82.5,FRA,0.5,48640.0,1.9
57,Gabon,66.2,GAB,2.39,19839.0,4.0
58,Georgia,73.6,GEO,0.63,13200.0,2.1
59,Germany,81.2,DEU,0.11,55306.0,1.6
60,Ghana,63.8,GHA,2.17,7343.0,3.9
61,Greece,82.1,GRC,-0.18,31616.0,1.4
62,Greenland,71.25,GRL,-0.11,48182.0,2.0
63,Grenada,72.4,GRD,0.39,17434.0,2.1
64,Guatemala,74.1,GTM,2.53,9009.0,2.9
65,Guinea,58.0,GIN,2.39,2113.0,4.5
66,Guyana,69.8,GUY,0.57,17163.0,2.5
67,Haiti,63.7,HTI,1.39,1916.0,2.9
68,Honduras,75.1,HND,2.03,5600.0,2.5
69,Hong Kong,84.7,HKG,1.17,66527.0,1.1
70,Hungary,76.7,HUN,-0.28,35941.0,1.6
71,Iceland,82.9,ISL,0.35,56974.0,1.7
72,India,69.4,IND,1.26,9027.0,2.2
73,Indonesia,71.5,IDN,1.25,14841.0,2.3
74,Iran,76.5,IRN,1.32,17832.0,2.9
75,Iraq,70.5,IRQ,2.54,18755.0,3.7
76,Ireland,82.1,IRL,0.26,86988.0,1.8
77,Israel,82.8,ISR,1.81,40337.0,2.4
78,Italy,83.6,ITA,0.32,41582.0,1.3
79,Ivory Coast,57.4,CIV,2.29,4754.0,4.6
80,Jamaica,74.4,JAM,0.21,9932.0,2.0
81,Japan,84.5,JPN,-0.2,46827.0,1.4
82,Jordan,74.4,JOR,2.19,9939.0,2.8
83,Kazakhstan,73.2,KAZ,1.43,30178.0,2.8
84,Kenya,63.3,KEN,2.7,4078.0,3.5
85,Kiribati,68.1,KIR,1.54,2193.0,3.6
86,Kuwait,75.4,KWT,3.95,67891.0,2.1
87,Kyrgyzstan,71.3,KGZ,1.22,4193.0,3.3
88,Laos,67.6,LAO,1.89,8684.0,2.7
89,Latvia,75.2,LVA,-1.6,32987.0,1.6
90,Lebanon,78.9,LBN,0.96,15599.0,2.1
