Country,Type,Value,ISO-code
Afghanistan,Life expectancy,64.5,AFG
Algeria,Life expectancy,76.7,DZA
Andorra,Life expectancy,81.8,AND
Angola,Life expectancy,60.8,AGO
Antigua and Barbuda,Life expectancy,76.9,ATG
Argentina,Life expectancy,76.5,ARG
Armenia,Life expectancy,74.9,ARM
Australia,Life expectancy,83.3,AUS
Austria,Life expectancy,81.4,AUT
Azerbaijan,Life expectancy,72.9,AZE
Bahrain,Life expectancy,77.2,BHR
Bangladesh,Life expectancy,72.3,BGD
Barbados,Life expectancy,79.1,BRB
Belarus,Life expectancy,74.6,BLR
Belgium,Life expectancy,81.5,BEL
Belize,Life expectancy,74.5,BLZ
Benin,Life expectancy,61.5,BEN
Bhutan,Life expectancy,71.5,BTN
Bolivia,Life expectancy,71.2,BOL
Bosnia and Herzegovina,Life expectancy,77.3,BIH
Botswana,Life expectancy,69.3,BWA
Brazil,Life expectancy,75.7,BRA
Brunei,Life expectancy,75.7,BRN
Bulgaria,Life expectancy,74.9,BGR
Burkina Faso,Life expectancy,61.2,BFA
Burundi,Life expectancy,61.2,BDI
Cambodia,Life expectancy,69.6,KHM
Cameroon,Life expectancy,58.9,CMR
Canada,Life expectancy,82.3,CAN
Cape Verde,Life expectancy,72.8,CPV
Central African Republic,Life expectancy,52.8,CAF
Chad,Life expectancy,54,TCD
Chile,Life expectancy,80,CHL
China,Life expectancy,76.7,CHN
Colombia,Life expectancy,77.1,COL
Comoros,Life expectancy,64.1,COM
Costa Rica,Life expectancy,80.1,CRI
Croatia,Life expectancy,78.3,HRV
Cuba,Life expectancy,78.6,CUB
Cyprus,Life expectancy,80.8,CYP
Czech Republic,Life expectancy,79.2,CZE
Democratic Republic of the Congo,Life expectancy,60.4,COD
Denmark,Life expectancy,80.8,DNK
Djibouti,Life expectancy,66.6,DJI
Dominican Republic,Life expectancy,73.9,DOM
East Timor,Life expectancy,69.3,TLS
Ecuador,Life expectancy,76.8,ECU
Egypt,Life expectancy,71.8,EGY
El Salvador,Life expectancy,73.1,SLV
Equatorial Guinea,Life expectancy,58.4,GNQ
Eritrea,Life expectancy,65.9,ERI
Estonia,Life expectancy,78.6,EST
Eswatini,Life expectancy,59.4,SWZ
Ethiopia,Life expectancy,66.2,ETH
Fiji,Life expectancy,67.3,FJI
Finland,Life expectancy,81.7,FIN
France,Life expectancy,82.5,FRA
Gabon,Life expectancy,66.2,GAB
Georgia,Life expectancy,73.6,GEO
Germany,Life expectancy,81.2,DEU
Ghana,Life expectancy,63.8,GHA
Greece,Life expectancy,82.1,GRC
Greenland,Life expectancy,71.25,GRL
Grenada,Life expectancy,72.4,GRD
Guatemala,Life expectancy,74.1,GTM
Guinea,Life expectancy,58,GIN
Guyana,Life expectancy,69.8,GUY
Haiti,Life expectancy,63.7,HTI
Honduras,Life expectancy,75.1,HND
Hong Kong,Life expectancy,84.7,HKG
Hungary,Life expectancy,76.7,HUN
Iceland,Life expectancy,82.9,ISL
India,Life expectancy,69.4,IND
Indonesia,Life expectancy,71.5,IDN
Iran,Life expectancy,76.5,IRN
Iraq,Life expectancy,70.5,IRQ
Ireland,Life expectancy,82.1,IRL
Israel,Life expectancy,82.8,ISR
Italy,Life expectancy,83.6,ITA
Ivory Coast,Life expectancy,57.4,CIV
Jamaica,Life expectancy,74.4,JAM
Japan,Life expectancy,84.5,JPN
Jordan,Life expectancy,74.4,JOR
Kazakhstan,Life expectancy,73.2,KAZ
Kenya,Life expectancy,63.3,KEN
Kiribati,Life expectancy,68.1,KIR
Kuwait,Life expectancy,75.4,KWT
Kyrgyzstan,Life expectancy,71.3,KGZ
Laos,Life expectancy,67.6,LAO
Latvia,Life expectancy,75.2,LVA
Lebanon,Life expectancy,78.9,LBN
Lesotho,Life expectancy,53.7,LSO
Liberia,Life expectancy,63.7,LBR
Libya,Life expectancy,72.7,LBY
Liechtenstein,Life expectancy,80.5,LIE
Lithuania,Life expectancy,75.7,LTU
Luxembourg,Life expectancy,82.1,LUX
Madagascar,Life expectancy,66.7,MDG
Malawi,Life expectancy,63.8,MWI
Malaysia,Life expectancy,76.1,MYS
Mali,Life expectancy,58.9,MLI
Malta,Life expectancy,82.4,MLT
Marshall Islands,Life expectancy,73.9,MHL
Mauritania,Life expectancy,64.7,MRT
Mauritius,Life expectancy,74.9,MUS
