Country,Type,Value,ISO-code
Afghanistan,Life_expectancy,645,AFG
Algeria,Life_expectancy,767,DZA
Andorra,Life_expectancy,818,AND
Angola,Life_expectancy,608,AGO
Antigua and Barbuda,Life_expectancy,769,ATG
Argentina,Life_expectancy,765,ARG
Armenia,Life_expectancy,749,ARM
Australia,Life_expectancy,833,AUS
Austria,Life_expectancy,814,AUT
Azerbaijan,Life_expectancy,729,AZE
Bahrain,Life_expectancy,772,BHR
Bangladesh,Life_expectancy,723,BGD
Barbados,Life_expectancy,791,BRB
Belarus,Life_expectancy,746,BLR
Belgium,Life_expectancy,815,BEL
Belize,Life_expectancy,745,BLZ
Benin,Life_expectancy,615,BEN
Bhutan,Life_expectancy,715,BTN
Bolivia,Life_expectancy,712,BOL
Bosnia and Herzegovina,Life_expectancy,773,BIH
Botswana,Life_expectancy,693,BWA
Brazil,Life_expectancy,757,BRA
Brunei,Life_expectancy,757,BRN
Bulgaria,Life_expectancy,749,BGR
Burkina Faso,Life_expectancy,612,BFA
Burundi,Life_expectancy,612,BDI
Cambodia,Life_expectancy,696,KHM
Cameroon,Life_expectancy,589,CMR
Canada,Life_expectancy,823,CAN
Cape Verde,Life_expectancy,728,CPV
Central African Republic,Life_expectancy,528,CAF
Chad,Life_expectancy,540,TCD
Chile,Life_expectancy,800,CHL
China,Life_expectancy,767,CHN
Colombia,Life_expectancy,771,COL
Comoros,Life_expectancy,641,COM
Costa Rica,Life_expectancy,801,CRI
Croatia,Life_expectancy,783,HRV
Cuba,Life_expectancy,786,CUB
Cyprus,Life_expectancy,808,CYP
Czech Republic,Life_expectancy,792,CZE
Democratic Republic of the Congo,Life_expectancy,604,COD
Denmark,Life_expectancy,808,DNK
Djibouti,Life_expectancy,666,DJI
Dominican Republic,Life_expectancy,739,DOM
East Timor,Life_expectancy,693,TLS
Ecuador,Life_expectancy,768,ECU
Egypt,Life_expectancy,718,EGY
El Salvador,Life_expectancy,731,SLV
Equatorial Guinea,Life_expectancy,584,GNQ
Eritrea,Life_expectancy,659,ERI
Estonia,Life_expectancy,786,EST
Eswatini,Life_expectancy,594,SWZ
Ethiopia,Life_expectancy,662,ETH
Fiji,Life_expectancy,673,FJI
Finland,Life_expectancy,817,FIN
France,Life_expectancy,825,FRA
Gabon,Life_expectancy,662,GAB
Georgia,Life_expectancy,736,GEO
Germany,Life_expectancy,812,DEU
Ghana,Life_expectancy,638,GHA
Greece,Life_expectancy,821,GRC
Greenland,Life_expectancy,7125,GRL
Grenada,Life_expectancy,724,GRD
Guatemala,Life_expectancy,741,GTM
Guinea,Life_expectancy,580,GIN
Guyana,Life_expectancy,698,GUY
Haiti,Life_expectancy,637,HTI
Honduras,Life_expectancy,751,HND
Hong Kong,Life_expectancy,847,HKG
Hungary,Life_expectancy,767,HUN
Iceland,Life_expectancy,829,ISL
India,Life_expectancy,694,IND
Indonesia,Life_expectancy,715,IDN
Iran,Life_expectancy,765,IRN
Iraq,Life_expectancy,705,IRQ
Ireland,Life_expectancy,821,IRL
Israel,Life_expectancy,828,ISR
Italy,Life_expectancy,836,ITA
Ivory Coast,Life_expectancy,574,CIV
Jamaica,Life_expectancy,744,JAM
Japan,Life_expectancy,845,JPN
Jordan,Life_expectancy,744,JOR
Kazakhstan,Life_expectancy,732,KAZ
Kenya,Life_expectancy,633,KEN
Kiribati,Life_expectancy,681,KIR
Kuwait,Life_expectancy,754,KWT
Kyrgyzstan,Life_expectancy,713,KGZ
Laos,Life_expectancy,676,LAO
Latvia,Life_expectancy,752,LVA
Lebanon,Life_expectancy,789,LBN
Lesotho,Life_expectancy,537,LSO
Liberia,Life_expectancy,637,LBR
Libya,Life_expectancy,727,LBY
Liechtenstein,Life_expectancy,805,LIE
Lithuania,Life_expectancy,757,LTU
Luxembourg,Life_expectancy,821,LUX
Madagascar,Life_expectancy,667,MDG
Malawi,Life_expectancy,638,MWI
Malaysia,Life_expectancy,761,MYS
Mali,Life_expectancy,589,MLI
Malta,Life_expectancy,824,MLT
Marshall Islands,Life_expectancy,739,MHL
Mauritania,Life_expectancy,647,MRT
Mauritius,Life_expectancy,749,MUS
Mexico,Life_expectancy,750,MEX
Micronesia,Life_expectancy,678,FSM
Moldova,Life_expectancy,718,MDA
Mongolia,Life_expectancy,697,MNG
Montenegro,Life_expectancy,768,MNE
